Serotype,Stage,Feature,Pearson_r,Abs_r,P_value
IP1,deae,deae_child2_xto_control_20x__7_1,-0.1487,0.1487,0.1669
IP1,deae,deae_sensor_TI_A2_min,-0.1459,0.1459,0.1749
IP1,deae,deae_child2_xto_control_20x__21_1,0.1442,0.1442,0.1801
IP1,deae,deae_child2_xto_cip_201__6_1,0.1438,0.1438,0.1815
IP1,deae,deae_child2_xto_common_20x__32_1,0.1438,0.1438,0.1815
IP1,deae,deae_sensor_RunCalc_UV_ForIntegral_v2_max,0.1436,0.1436,0.1819
IP1,deae,deae_sub_pc4,0.1429,0.1429,0.1842
IP1,deae,deae_child2_xto_cip_201__5_1,0.1423,0.1423,0.1859
IP1,deae,DEAE_PG - Ratio prot/Ag,-0.1402,0.1402,0.1927
IP1,deae,deae_sensor_RunCalc_UV_DuringHarvest_max,0.1401,0.1401,0.1929
IP1,deae,deae_child2_xto_common_20x__40_1,0.1396,0.1396,0.1946
IP1,deae,DEAE_DEAE - equilibration pH delta,-0.1383,0.1383,0.1986
IP1,deae,deae_child2_xto_inline_201__27_1,0.1375,0.1375,0.2015
IP1,deae,deae_child2_xto_inlet_20x__16_1,0.1374,0.1374,0.2018
IP1,deae,ev_pg_up4_mean_duration_h,-0.1364,0.1364,0.2051
IP1,deae,deae_sensor_TA_O1_HETP_mean,-0.1361,0.1361,0.206
IP1,deae,deae_child2_xto_prompt__14_1,0.1358,0.1358,0.2071
IP1,deae,deae_child2_xto_inline_201__5_1,-0.1357,0.1357,0.2074
IP1,deae,deae_child2_xto_control_20x__23_1,0.1339,0.1339,0.2136
IP1,deae,deae_child2_xto_common_20x__36_1,0.1337,0.1337,0.2142
IP1,deae,deae_child2_xto_control_20x__22_1,0.1337,0.1337,0.2142
IP1,deae,deae_child2_xto_prompt__12_1,0.1329,0.1329,0.2171
IP1,deae,deae_child2_xto_alarm_201__6_1,0.1315,0.1315,0.2221
IP1,deae,deae_child2_xto_outlet_20x__21_1,-0.1314,0.1314,0.2225
IP1,deae,deae_sensor_Accumulated Volume_max,0.1308,0.1308,0.2243
IP1,deae,deae_child2_xto_common_20x__21_1,-0.1298,0.1298,0.2282
IP1,deae,deae_child2_xto_control_20x__6_1,-0.1298,0.1298,0.2282
IP1,deae,deae_child2_xto_outlet_20x__12_1,0.1298,0.1298,0.2283
IP1,deae,deae_child2_xto_common_20x__56_1,0.1288,0.1288,0.2317
IP1,deae,deae_sub_pc2,0.1275,0.1275,0.2364
IP1,deae,deae_sensor_RunCalc_UV_DuringHarvest_std,0.1267,0.1267,0.2396
IP1,deae,deae_sensor_UV Light_mean,0.1245,0.1245,0.2476
IP1,deae,deae_child2_xto_outlet_20x__3_1,0.1213,0.1213,0.2604
IP1,deae,deae_sensor_RunCalc_UV_ForIntegral_v2_min,0.12,0.12,0.2655
IP1,deae,deae_sensor_RunCalc_UV_ForIntegral_v2_std,0.1175,0.1175,0.2754
IP1,deae,deae_child2_xto_alarm_201__3_1,0.1169,0.1169,0.278
IP1,deae,ev_pg_up4_n_events,0.1165,0.1165,0.2797
IP1,deae,ev_pg_up4_std_duration_h,-0.1157,0.1157,0.2832
IP1,deae,deae_child2_xto_inline_201__12_1,0.1157,0.1157,0.2831
IP1,deae,deae_sensor_MT_I2_OUT_min,-0.1156,0.1156,0.2835
IP1,deae,deae_child2_xto_common_20x__25_1,0.1149,0.1149,0.2866
IP1,deae,deae_child2_xto_control_20x__10_1,0.1149,0.1149,0.2863
IP1,deae,deae_child2_xto_control_20x__11_1,0.1149,0.1149,0.2866
IP1,deae,deae_child2_xto_inline_201__13_1,0.1147,0.1147,0.2872
IP1,deae,deae_child2_xto_common_20x__2_1,0.1133,0.1133,0.2931
IP1,deae,deae_child2_xto_outlet_20x__6_1,0.1133,0.1133,0.2931
IP1,deae,deae_child2_xto_prompt__11_1,0.1125,0.1125,0.2966
IP1,deae,deae_child2_xto_inlet_20x__4_1,0.1123,0.1123,0.2974
IP1,deae,deae_child2_xto_init_20x__1_1,0.1116,0.1116,0.3006
IP1,deae,deae_child2_xto_outlet_20x__26_1,0.111,0.111,0.3032
IP1,deae,ev_pg_up4_max_duration_h,-0.1095,0.1095,0.31
IP1,deae,deae_sensor_TI_A2_mean,-0.1082,0.1082,0.3155
IP1,deae,DEAE_DEAE - equilibration pH OUT,0.107,0.107,0.3209
IP1,deae,deae_child2_xto_prompt__20_1,-0.1043,0.1043,0.3337
IP1,deae,deae_child2_xto_inline_201__1_1,0.1025,0.1025,0.3419
IP1,deae,DEAE_DEAE - pH after adding,-0.1022,0.1022,0.3435
IP1,deae,ev_pg_deae_up1_total_duration_h,0.1019,0.1019,0.3449
IP1,deae,ev_deae_up12_total_duration_h,0.1012,0.1012,0.3481
IP1,deae,deae_sensor_UV Light_std,0.101,0.101,0.3493
IP1,deae,deae_sensor_RunCalc_UV_DuringHarvest_mean,0.1003,0.1003,0.3525
IP1,deae,deae_sensor_PIC_A1_std,0.1,0.1,0.3539
IP1,deae,ev_pg_deae_up5_std_duration_h,0.098,0.098,0.3639
IP1,deae,deae_sensor_UV Elution_mean,0.0979,0.0979,0.3642
IP1,deae,deae_child2_xto_prompt__22_1,0.0979,0.0979,0.3641
IP1,deae,deae_child2_xto_control_20x__20_1,0.0977,0.0977,0.3651
IP1,deae,deae_child2_xto_inlet_20x__14_1,0.0977,0.0977,0.3651
